#
# State information.
#
#


# dataset 0: For the stoma (column numbers are in brackets)
# 1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  
t  pore-length  pore-width  stoma-length  stoma-width  pore-area  gc0-height  gc0-width  gc0-ar  gc0-surface-area  gc0-volume  gc1-height  gc1-width  gc1-ar  gc1-surface-area  gc1-volume  
0.000000   17.00000000    2.00000000   45.00000000   32.00000000   26.66142133   15.00000000   15.00000000    1.00000000  1682.89731753  4633.88931046           nan           nan           nan           nan           nan 
0.050000   17.33204937    1.22981018   45.20342389   31.22760099   18.51566769   14.98711401   14.99889541    0.99921452  1669.98653262  4570.65805699           nan           nan           nan           nan           nan 
0.105902   17.74245518    0.23945534   45.50611055   30.23681915    7.28395874   14.96551282   14.99868190    0.99778853  1656.17596364  4494.68030360           nan           nan           nan           nan           nan 
0.164189   18.09522521    0.00000000   45.82348120   29.09095812    2.20306863   15.18869358   14.54741991    1.04408161  1644.78898893  4422.00475935           nan           nan           nan           nan           nan 
0.212363   18.34705615    0.00138879   46.08826315   28.11580181    1.46538966   15.44009343   14.05720651    1.09837566  1637.00330161  4358.43724624           nan           nan           nan           nan           nan 
0.258761   18.57634151    0.01043999   46.34822071   27.17677927    1.21748086   15.67672902   13.58316964    1.15412893  1630.36292796  4291.74557724           nan           nan           nan           nan           nan 
0.303465   18.77659476    0.01385951   46.59034431   26.30730104    1.11051766   15.89512390   13.14672077    1.20905617  1624.80365126  4224.15276405           nan           nan           nan           nan           nan 
0.345145   18.94177508    0.01088178   46.79998446   25.55702686    1.01923052   16.08272219   12.77307254    1.25911147  1620.30179362  4159.82713688           nan           nan           nan           nan           nan 
0.384065   19.08017159    0.00547588   46.98379850   24.89259481    0.92326138   16.25187969   12.44355947    1.30604750  1616.63390968  4100.11625109           nan           nan           nan           nan           nan 
0.420465   19.19822812    0.00102234   47.14512038   24.30208826    0.83538526   16.40401924   12.15053296    1.35006582  1613.52410881  4044.39094665           nan           nan           nan           nan           nan 
0.454565   19.29892588    0.00000000   47.28516912   23.78320312    0.76058944   16.54138768   11.89254153    1.39090434  1611.04792132  3993.31711014           nan           nan           nan           nan           nan 
0.486565   19.39773750    0.00000000   47.42456245   23.27645302    0.63656432   16.66589665   11.64132702    1.43161485  1608.65250828  3942.08230483           nan           nan           nan           nan           nan 
0.526591   19.41470003    0.00000000   47.29231262   23.88982487    0.68733347   16.54883039   11.94569898    1.38533797  1616.83354647  4025.35718306           nan           nan           nan           nan           nan 
0.562926   19.41505432    0.00000000   47.11419582   24.80000448    0.43774561   16.35674393   12.40952921    1.31807933  1628.60952795  4141.70206354           nan           nan           nan           nan           nan 
0.602705   19.44740796    0.00000000   47.00374103   25.58614683    0.18830735   16.18562353   12.81239641    1.26327839  1640.95012935  4244.00645102           nan           nan           nan           nan           nan 
0.649592   19.52032948    0.00000000   46.95405447   26.31733084    0.03467013   16.01379335   13.18815196    1.21425605  1654.91213917  4341.85666752           nan           nan           nan           nan           nan 
0.706848   19.63946605    0.00000000   46.97900879   26.99777079    0.19786418   15.83552986   13.53685117    1.16980897  1670.78035670  4436.74319015           nan           nan           nan           nan           nan 
