#
# State information.
#
#


# dataset 0: For the stoma (column numbers are in brackets)
# 1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  
t  pore-length  pore-width  stoma-length  stoma-width  pore-area  gc0-height  gc0-width  gc0-ar  gc0-surface-area  gc0-volume  gc1-height  gc1-width  gc1-ar  gc1-surface-area  gc1-volume  
0.000000   17.00000000    2.00000000   45.00000000   32.00000000   26.66142129   15.00000000   15.00000000    1.00000000  1682.89732007  4633.88934597           nan           nan           nan           nan           nan 
0.050000   17.00000000    1.60165679   45.00000000   31.45527732   22.74942622   15.06761829   14.92681026    1.00943323  1669.35246756  4576.27795691           nan           nan           nan           nan           nan 
0.110000   17.00000000    1.00395107   45.00000000   30.82546759   16.77118808   15.08584022   14.91075826    1.01174199  1653.57262065  4505.30615248           nan           nan           nan           nan           nan 
0.177809   17.00000000    0.24538851   45.00000000   30.12248099    9.06322430   15.06267773   14.93854624    1.00830948  1636.48138590  4424.78180134           nan           nan           nan           nan           nan 
0.249418   17.00000000    0.00000000   45.00000000   29.34323907    4.63739038   15.20122206   14.67505264    1.03585469  1621.53177721  4349.66059221           nan           nan           nan           nan           nan 
0.315659   17.00000000    0.00065601   45.00000000   28.62173820    3.50562103   15.41014487   14.31054109    1.07683873  1609.96070172  4286.30506562           nan           nan           nan           nan           nan 
0.383726   17.00000000    0.00660813   45.00000000   27.90998459    2.96142502   15.61149317   13.95168823    1.11896804  1599.45579340  4221.77713917           nan           nan           nan           nan           nan 
0.451793   17.00000000    0.01278901   45.00000000   27.22788715    2.67353631   15.80146128   13.60754907    1.16122758  1589.99743576  4158.60076898           nan           nan           nan           nan           nan 
0.519860   17.00000000    0.01055014   45.00000000   27.01790333    2.48880417   15.88063604   13.50367659    1.17602313  1589.11279111  4149.77164641           nan           nan           nan           nan           nan 
0.589654   17.00000000    0.00000000   45.00000000   27.84029484    2.62277080   15.69497490   13.92133951    1.12740408  1606.33305742  4256.01552911           nan           nan           nan           nan           nan 
0.665345   17.00000000    0.00000000   45.00000000   28.53910232    2.74535096   15.49664611   14.27841365    1.08531987  1622.21521709  4344.24132766           nan           nan           nan           nan           nan 
0.742352   17.00000000    0.00000000   45.00000000   29.07948184    3.34299912   15.33981884   14.55085957    1.05422080  1636.37665603  4414.93744112           nan           nan           nan           nan           nan 
0.820602   17.00000000    0.00000000   45.00000000   29.54452348    4.81058872   15.21564725   14.77787971    1.02962316  1650.02534593  4479.40357397           nan           nan           nan           nan           nan 
0.892905   17.00000000    0.60234177   45.00000000   30.21613538   12.10263161   15.20153296   14.80689681    1.02665219  1667.14246648  4559.55750370           nan           nan           nan           nan           nan 
0.970748   17.00000000    1.34980589   45.00000000   30.96171439   20.42503424   15.19168846   14.80595425    1.02605264  1685.75066534  4644.14777506           nan           nan           nan           nan           nan 
1.053022   17.00000000    2.06921419   45.00000000   31.69257843   28.27292505   15.17472731   14.81168212    1.02451073  1704.25570155  4726.55485402           nan           nan           nan           nan           nan 
1.138841   17.00000000    2.77041638   45.00000000   32.40816903   35.96970316   15.15542895   14.81887633    1.02271108  1723.07625535  4807.48096259           nan           nan           nan           nan           nan 
1.227497   17.00000000    3.45979500   45.00000000   33.11294377   43.69144353   15.13524903   14.82657439    1.02081901  1742.23392509  4888.01691658           nan           nan           nan           nan           nan 
1.318421   17.00000000    4.13744354   45.00000000   33.80649531   51.44075612   15.11484861   14.83452588    1.01889664  1761.45883695  4968.18471583           nan           nan           nan           nan           nan 
1.411161   17.00000000    4.79915786   45.00000000   34.48467660   59.12673482   15.09453171   14.84275937    1.01696264  1780.81346921  5046.10506340           nan           nan           nan           nan           nan 
1.505352   17.00000000    5.43744636   45.00000000   35.13930845   66.61317098   15.07504863   14.85093105    1.01509115  1799.81486107  5121.61517549           nan           nan           nan           nan           nan 
1.600706   17.00000000    6.04484034   45.00000000   35.76302052   73.78497127   15.05652084   14.85909009    1.01328687  1818.22563713  5193.89247638           nan           nan           nan           nan           nan 
1.696988   17.00000000    6.61686659   45.00000000   36.35114527   80.57990809   15.03931567   14.86713934    1.01158100  1835.97654509  5262.54516009           nan           nan           nan           nan           nan 
1.794014   17.00000000    7.15192175   45.00000000   36.90185928   86.97149323   15.02350321   14.87496877    1.00998553  1852.91723524  5327.64316152           nan           nan           nan           nan           nan 
1.891635   17.00000000    7.64997864   45.00000000   37.41510439   92.95495267   15.00906243   14.88256288    1.00849985  1869.08110644  5389.23786948           nan           nan           nan           nan           nan 
1.989732   17.00000000    8.11247778   45.00000000   37.89296341   98.54409859   14.99586769   14.89024282    1.00709356  1884.43981938  5447.64238358           nan           nan           nan           nan           nan 
2.088209   17.00000000    8.54171467   45.00000000   38.33789349  103.76262649   14.98382934   14.89808941    1.00575510  1899.04532156  5502.98187362           nan           nan           nan           nan           nan 
2.186991   17.00000000    8.94043779   45.00000000   38.75267076  108.64027162   14.97285250   14.90611649    1.00447709  1912.95687510  5555.44283707           nan           nan           nan           nan           nan 
2.286017   17.00000000    9.31141329   45.00000000   39.14006853  113.20589643   14.96284902   14.91432762    1.00325334  1926.21127664  5605.34418731           nan           nan           nan           nan           nan 
2.385237   17.00000000    9.65732670   45.00000000   39.50273991  117.48804508   14.95375426   14.92270660    1.00208056  1938.85690557  5652.99018581           nan           nan           nan           nan           nan 
2.484614   17.00000000    9.98075104   45.00000000   39.84315634  121.51437595   14.94550166   14.93120265    1.00095766  1950.91337292  5698.50555641           nan           nan           nan           nan           nan 
2.584115   17.00000000   10.28398991   45.00000000   40.16354179  125.31002688   14.93801767   14.93977594    0.99988231  1962.47207550  5742.07369633           nan           nan           nan           nan           nan 
2.683716   17.00000000   10.56904316   45.00000000   40.46584797  128.89840682   14.93120570   14.94840240    0.99884960  1973.55435509  5783.90401780           nan           nan           nan           nan           nan 
2.783396   17.00000000   10.83832359   45.00000000   40.75186634  132.29997869   14.92501845   14.95677137    0.99787702  1984.20655559  5824.09101563           nan           nan           nan           nan           nan 
