#
# State information.
#
#


# dataset 0: For the stoma (column numbers are in brackets)
# 1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  
t  pore-length  pore-width  stoma-length  stoma-width  pore-area  gc0-height  gc0-width  gc0-ar  gc0-surface-area  gc0-volume  gc1-height  gc1-width  gc1-ar  gc1-surface-area  gc1-volume  
0.000000   17.00000000    2.00000000   45.00000000   32.00000000   26.66142133   15.00000000   15.00000000    1.00000000  1652.98563993  4416.43322296           nan           nan           nan           nan           nan 
0.100000   17.56764150    0.83954060   45.32259393   30.62527502   14.20785549   15.05472833   14.89286721    1.01086837  1629.69601263  4306.64428060           nan           nan           nan           nan           nan 
0.200000   18.11324739    0.00000000   45.75623930   28.99560142    2.68074945   15.26487041   14.50018668    1.05273613  1609.62713452  4193.57867643           nan           nan           nan           nan           nan 
0.286064   18.43353701    0.01562715   46.10292196   27.55878496    1.57917146   15.71154350   13.77157891    1.14086726  1597.05365507  4099.23082542           nan           nan           nan           nan           nan 
0.365500   18.68680251    0.02913177   46.40375710   26.36864090    1.41354418   16.07049572   13.16975456    1.22025780  1588.07547080  4007.75154718           nan           nan           nan           nan           nan 
0.436400   18.88348091    0.02732432   46.65110958   25.43029308    1.33248632   16.34320128   12.70148438    1.28671585  1581.54538409  3925.56080833           nan           nan           nan           nan           nan 
0.499813   19.03950334    0.02253735   46.85604262   24.66120291    1.23760738   16.56600511   12.31933278    1.34471610  1576.82715382  3852.46564828           nan           nan           nan           nan           nan 
0.558572   19.06023669    0.00000000   46.61740303   25.88529634    0.79970264   16.22567797   12.95035636    1.25291363  1593.53467715  4004.76949268           nan           nan           nan           nan           nan 
0.617331   19.13312411    0.00000000   46.54922974   26.72739935    0.77965517   15.96290874   13.37136185    1.19381323  1608.81443209  4112.70355177           nan           nan           nan           nan           nan 
0.673820   19.21987414    0.00000000   46.54491830   27.38383770    0.81367485   15.75981557   13.70349550    1.15005807  1622.87860820  4196.83036538           nan           nan           nan           nan           nan 
0.738805   19.36471343    0.00000000   46.62880063   27.88298655    0.89302289   15.57792044   13.94791460    1.11686377  1637.24386808  4269.60752698           nan           nan           nan           nan           nan 
0.805683   19.52452755    0.00000000   46.75416553   28.26711559    1.00050798   15.42150283   14.13864350    1.09073426  1650.90229751  4331.88116710           nan           nan           nan           nan           nan 
0.874353   19.69038057    0.00000000   46.90338576   28.58133459    1.15541802   15.28587633   14.29343247    1.06943356  1663.97291513  4387.44992595           nan           nan           nan           nan           nan 
0.946721   19.87158108    0.00000000   47.08201623   28.83111596    1.30655551   15.15737759   14.42087221    1.05107218  1676.85281248  4438.95866933           nan           nan           nan           nan           nan 
