#
# State information.
#
#


# dataset 0: For the stoma (column numbers are in brackets)
# 1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  
t  pore-length  pore-width  stoma-length  stoma-width  pore-area  gc0-height  gc0-width  gc0-ar  gc0-surface-area  gc0-volume  gc1-height  gc1-width  gc1-ar  gc1-surface-area  gc1-volume  
0.000000   17.00000000    2.00000000   45.00000000   32.00000000   26.66142133   15.00000000   15.00000000    1.00000000  1658.43923969  4460.93263902           nan           nan           nan           nan           nan 
0.100000   17.60746628    0.83123696   45.35984394   30.54242218   14.12320609   15.07253099   14.85559261    1.01460315  1634.67349633  4349.04068028           nan           nan           nan           nan           nan 
0.200000   18.19149888    0.00000000   45.83967525   28.80526543    2.46277828   15.30944270   14.40458882    1.06281706  1614.16667795  4232.69636824           nan           nan           nan           nan           nan 
0.288935   18.54097390    0.02334154   46.22274792   27.26476622    1.54900608   15.78893900   13.62071234    1.15918600  1601.23788063  4131.04507983           nan           nan           nan           nan           nan 
0.368166   18.80187070    0.02908170   46.53205836   26.07055521    1.39843588   16.14760065   13.02073675    1.24014493  1592.45654749  4037.54337079           nan           nan           nan           nan           nan 
0.438885   19.00103641    0.04429662   46.78117418   25.13246393    1.39843930   16.42644048   12.54408365    1.30949704  1586.16211512  3953.62974505           nan           nan           nan           nan           nan 
0.502140   19.15482926    0.04907632   46.97059500   24.43294716    1.38724583   16.63278377   12.19193542    1.36424474  1582.44604133  3887.70998083           nan           nan           nan           nan           nan 
0.560754   19.18886590    0.00000000   46.72618818   25.68123293    0.76065551   16.28541243   12.84461093    1.26787900  1599.51640847  4045.17523316           nan           nan           nan           nan           nan 
0.619369   19.28151202    0.00000000   46.66218412   26.51303053    0.76803791   16.02531230   13.25996864    1.20854828  1615.12706356  4154.07185575           nan           nan           nan           nan           nan 
0.673747   19.37635326    0.00000000   46.65302122   27.16863251    0.72086040   15.83029926   13.59247816    1.16463673  1629.21087628  4239.50585514           nan           nan           nan           nan           nan 
0.737033   19.52996111    0.00000000   46.73370373   27.67699289    0.82607342   15.65307409   13.84179950    1.13085543  1643.91909766  4314.39570693           nan           nan           nan           nan           nan 
0.800318   19.69158864    0.00000000   46.85044789   28.06254554    0.90507595   15.50629449   14.03245699    1.10503061  1657.40878412  4377.04089433           nan           nan           nan           nan           nan 
0.867937   19.86599922    0.00000000   46.99827623   28.39524603    1.04633261   15.37423837   14.19796193    1.08284826  1671.26438228  4436.02755960           nan           nan           nan           nan           nan 
0.937307   20.05180860    0.00000000   47.17192674   28.64517617    1.11023096   15.25244960   14.32431126    1.06479462  1684.19384341  4487.83451116           nan           nan           nan           nan           nan 
1.010293   20.24980831    0.00000000   47.36518502   28.86468410    1.29780264   15.14044806   14.43566573    1.04882230  1697.25636982  4538.12841080           nan           nan           nan           nan           nan 
1.088553   20.45986652    0.00060606   47.57714033   29.07579899    1.61902288   15.03874847   14.53759646    1.03447282  1710.79575328  4589.44078541           nan           nan           nan           nan           nan 
1.163636   20.57687974    0.25626361   47.72291446   29.45116591    5.51032393   14.96860658   14.59745115    1.02542604  1724.99890644  4646.81627831           nan           nan           nan           nan           nan 
1.243702   20.58064151    0.87222815   47.79768372   30.09659505   14.25099732   14.92738406   14.61218345    1.02157108  1741.64484095  4718.73482983           nan           nan           nan           nan           nan 
