#
# State information.
#
#


# dataset 0: For the stoma (column numbers are in brackets)
# 1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  
t  pore-length  pore-width  stoma-length  stoma-width  pore-area  gc0-height  gc0-width  gc0-ar  gc0-surface-area  gc0-volume  gc1-height  gc1-width  gc1-ar  gc1-surface-area  gc1-volume  
0.000000   17.00000000    2.00000000   45.00000000   32.00000000   26.66142133   15.00000000   15.00000000    1.00000000  1655.73592421  4438.67830228           nan           nan           nan           nan           nan 
0.050000   17.27812696    1.47916043   45.14753483   31.31999046   21.21435573   15.04817916   14.92041501    1.00856304  1643.76600396  4384.99891148           nan           nan           nan           nan           nan 
0.109761   17.64877278    0.69812715   45.38344285   30.43338883   12.62160989   15.06469132   14.86763084    1.01325433  1629.95555557  4316.26225088           nan           nan           nan           nan           nan 
0.174272   18.03834677    0.00000000   45.68809783   29.35416579    3.46051759   15.15089993   14.67906415    1.03214345  1616.28356040  4240.23720799           nan           nan           nan           nan           nan 
0.230343   18.27352571    0.00681949   45.92582607   28.37400389    1.99009041   15.44958183   14.18359220    1.08925733  1607.09388863  4179.84006897           nan           nan           nan           nan           nan 
0.284269   18.47420847    0.02020490   46.15071082   27.46068430    1.58041402   15.73394763   13.72023970    1.14676915  1599.47708024  4118.67539617           nan           nan           nan           nan           nan 
0.336151   18.64759099    0.02425838   46.35534573   26.65147734    1.42881158   15.98052490   13.31360948    1.20031498  1593.34433008  4058.15583324           nan           nan           nan           nan           nan 
0.386084   18.79810357    0.02200365   46.53877151   25.95248413    1.32962156   16.18694007   12.96524024    1.24848748  1588.31392256  3999.79753316           nan           nan           nan           nan           nan 
0.434158   18.93076420    0.02608800   46.70514345   25.32433844    1.26910910   16.37171829   12.64912522    1.29429648  1584.06700565  3943.21863156           nan           nan           nan           nan           nan 
0.480461   19.04821730    0.03096426   46.85748374   24.75457573    1.25242761   16.53860724   12.36180574    1.33787956  1580.60490150  3889.34791749           nan           nan           nan           nan           nan 
0.525074   19.10537004    0.00451040   46.80030787   25.08455038    0.91304099   16.44618678   12.54001999    1.31149606  1586.43360486  3938.38670301           nan           nan           nan           nan           nan 
0.580500   19.14618635    0.00000000   46.63219261   26.11993170    0.58340417   16.15467811   13.07297671    1.23573066  1602.08388285  4067.64213098           nan           nan           nan           nan           nan 
0.638338   19.23591781    0.00000000   46.59812915   26.87061357    0.75036115   15.91849256   13.44174218    1.18425814  1617.08949944  4165.55433589           nan           nan           nan           nan           nan 
0.693949   19.33724165    0.00000000   46.61483276   27.46338034    0.77721007   15.73384851   13.74157083    1.14498180  1630.81473888  4243.60024378           nan           nan           nan           nan           nan 
0.758438   19.49242830    0.00000000   46.71310699   27.91775656    0.86537063   15.56487685   13.96333814    1.11469598  1644.95022076  4312.81869043           nan           nan           nan           nan           nan 
0.822927   19.65628076    0.00000000   46.84370399   28.26529241    0.95771723   15.42240062   14.13692689    1.09093021  1658.12698033  4371.85117577           nan           nan           nan           nan           nan 
0.891607   19.82859945    0.00000000   46.99902904   28.56662202    1.11877101   15.29244110   14.28512645    1.07051493  1671.36709286  4426.89484518           nan           nan           nan           nan           nan 
0.963984   20.01645160    0.00000000   47.18284750   28.80565500    1.25146171   15.16967143   14.40703237    1.05293519  1684.34135529  4478.41155849           nan           nan           nan           nan           nan 
1.039622   20.21128082    0.00000000   47.38028765   29.03019929    1.56921567   15.06063617   14.51796663    1.03737917  1697.48279261  4528.86733294           nan           nan           nan           nan           nan 
1.120016   20.41155052    0.00835669   47.59434223   29.24752998    2.25454341   14.95880369   14.61958665    1.02320292  1711.23129475  4580.73343647           nan           nan           nan           nan           nan 
1.201470   20.41471100    0.63979733   47.66727495   29.91244435   11.09993166   14.91343392   14.63632351    1.01893306  1728.14908080  4654.53684185           nan           nan           nan           nan           nan 
1.286634   20.42027545    1.24297345   47.75961304   30.54517961   19.58422791   14.87114297   14.65110308    1.01501866  1745.09067086  4726.86754576           nan           nan           nan           nan           nan 
1.374765   20.45646310    1.79308572   47.87703085   31.12232488   27.32004827   14.83188334   14.66461958    1.01140594  1761.62834754  4795.54397142           nan           nan           nan           nan           nan 
1.465269   20.53714609    2.28165415   48.01741791   31.63673198   34.20109383   14.79568914   14.67753892    1.00804973  1777.64710107  4860.62562089           nan           nan           nan           nan           nan 
1.557673   20.64044547    2.72754985   48.16842198   32.10764977   40.56457909   14.76256453   14.69004996    1.00493631  1793.13268246  4922.29180102           nan           nan           nan           nan           nan 
1.651596   20.74431896    3.16437387   48.31506777   32.56822026   46.93651779   14.73205310   14.70192319    1.00204939  1808.42357376  4982.95092927           nan           nan           nan           nan           nan 
1.746734   20.84045959    3.60306811   48.45107675   33.02892017   53.46464248   14.70434710   14.71292603    0.99941691  1823.50081853  5042.67550325           nan           nan           nan           nan           nan 
1.842845   20.92600298    4.03579211   48.57684660   33.48254001   59.98351441   14.67907730   14.72337395    0.99699141  1838.41094143  5100.85971852           nan           nan           nan           nan           nan 
1.939734   21.00415373    4.45076561   48.69570637   33.91772187   66.29950166   14.65606368   14.73347813    0.99474568  1852.93261794  5157.58552306           nan           nan           nan           nan           nan 
2.037244   21.07725000    4.83942938   48.81197023   34.32718563   72.28683749   14.63481906   14.74387813    0.99260310  1866.87554475  5211.62666733           nan           nan           nan           nan           nan 
2.135253   21.14739466    5.20178556   48.92614532   34.71025872   77.92704455   14.61536622   14.75423658    0.99058776  1880.27898610  5263.03783725           nan           nan           nan           nan           nan 
2.233660   21.21583557    5.53913116   49.03840923   35.06814003   83.23233851   14.59756705   14.76450443    0.98869333  1893.19498269  5312.18390153           nan           nan           nan           nan           nan 
2.332386   21.28311539    5.85336542   49.14853477   35.40274358   88.22684770   14.58125865   14.77468908    0.98690799  1905.58451285  5359.25288335           nan           nan           nan           nan           nan 
2.431366   21.34921217    6.14669466   49.25616884   35.71625757   92.94197930   14.56622967   14.78478146    0.98521779  1917.46772294  5404.61718179           nan           nan           nan           nan           nan 
2.530550   21.41444492    6.42092466   49.36100912   36.01041889   97.39727077   14.55255151   14.79474711    0.98362962  1928.89791017  5447.96136762           nan           nan           nan           nan           nan 
2.629898   21.47889662    6.67771912   49.46344280   36.28698730  101.61415391   14.54004338   14.80463409    0.98212785  1939.91260600  5489.51450651           nan           nan           nan           nan           nan 
2.729376   21.54250813    6.91874695   49.56341124   36.54768515  105.61426794   14.52844474   14.81446910    0.98069291  1950.55509625  5529.54558153           nan           nan           nan           nan           nan 
2.828958   21.60520935    7.14573812   49.66093540   36.79402113  109.41701157   14.51780060   14.82414150    0.97933500  1960.82090752  5568.19841891           nan           nan           nan           nan           nan 
2.928624   21.66695786    7.35990000   49.75599194   37.02729988  113.03940558   14.50829366   14.83369994    0.97806304  1970.74627503  5605.36296583           nan           nan           nan           nan           nan 
